Phase 3 — Form 3 — Consumed (~33%–0%)	Aşama 3 — Form 3 — Tüketilmiş (~33%–0%)
Kill order	Öldürme sırası
If overwhelmed	Bunalmışsan
Target priority	Hedef önceliği
Start the duo	İkililiği başlat
Gates progress	Kapı ilerlemesi
Duo Coordination	İkili Koordinasyon
Combined Attacks	Birleşik Saldırılar
Target Priority (Build-Dependent)	Hedef Önceliği (Yapıya Bağımlı)
Duo start.	İkili başlangıcı.
A sword combo string.	Bir kılıç kombo dizisi.
Dodge between swings; punish the end.	Savuruşlar arasında kaçın; sonu cezalandır.
Trading during combo	Kombo sırasında takas
Side-step the bolt.	Şimşekten yan adım.
Ranged poke.	Uzaktan dürtme.
Who do I kill first	Önce kimi öldüreyim
Kill both	İkisini de öldür
Interlude 2 final boss with time-stop.	Zaman durması içeren 2. Ara final boss'u.
Encounter loop	Karşılaşma döngüsü
Ascent to Power	Güce Yükseliş
Physical defence	Fiziksel savunma
Life/armour and positioning.	Can/zırh ve konumlandırma.
Fire Salvo and fire cyclone are Fire.	Ateş Salvosu ve ateş kasırgası Ateştir.
Chaos Resistance	Kaos Direnci
Difficulty	Zorluk
Hunter	Avcı
Entry item	Giriş eşyası
Role (source/receiver) confirmed per patch.	Rol (kaynak/alıcı) yama başına doğrulandı.
Burst window	Patlama penceresi
Base Spirit	Temel Ruh
Gear Spirit	Ekipman Ruhu
Reservation Efficiency	Rezervasyon Verimliliği
Minimum Total	Minimum Toplam
Critical chance	Eleştiri şansı
Mandatory to avoid one-shots.	Tek vuruşlardan kaçınmak zorunludur.
Boss matchup	Boss eşleşmesi
Boss takes no damage	Boss hasar almıyor
Only verified build-specific modifiers.	Yalnızca doğrulanmış yapıya özgü değiştiriciler.
Dying in maps	Haritalarda ölmek
Is life/armour below the content tier?	Can/zırh içerik seviyesinin altında mı?
Are kill-based assumptions removed?	Öldürmeye dayalı varsayımlar kaldırıldı mı?
Empty mana after trigger	Tetiklemeden sonra boş mana
Maps fine, boss stalls	Haritalar iyi, boss duruyor
High Ward, still dies	Yüksek Ward, yine de ölüyor
Trigger rate	Tetikleme oranı
Complete Path of Exile 2 Bear Shaman Druid build guide on the 0.5.4 baseline, separating the bear form, the damage skills and the Rampage / Walking Calamity / Meteor variant routes.	Path of Exile 2 Bear Shaman Druid yapı rehberinin 0.5.4 temeli üzerinde tamamı; ayı formu, hasar becerileri ve Rampage / Walking Calamity / Meteor varyant rotaları ayrılmıştır.
50+	50+
The primary loop has current 0.5 guide coverage.	Ana döngü, mevcut 0.5 rehber kapsamına sahip.
Generate or maintain Cold Infusion, then use Ice Nova for mapping.	Soğuk İnfüzyonu oluştur veya sürdür, sonra haritalama için Ice Nova kullan.
For bosses, apply the selected curse or mark before Frost Bomb and Frost Wall setup.	Bosslar için, Frost Bomb ve Frost Wall kurulumundan önce seçili laneti veya işareti uygula.
Apply the curse or mark package, place Frost Wall only where the arena supports it, add Frost Bomb, then use Frost Darts while waiting for the next freeze or cooldown window. If Frost Wall behaves strangely on a specific boss, remove that dependency instead of repeating a broken rotation.	Lanet veya işaret paketini uygula, Frost Wall'u yalnızca arena desteklediği yerde konumlandır, Frost Bomb ekle, sonra bir sonraki donma veya bekleme penceresini beklerken Frost Darts kullan. Belirli bir boss'ta Frost Wall garip davranırsa, bozuk rotasyonu tekrarlamak yerine o bağımlılığı kaldır.
Apply curse or mark, then Frost Bomb and Frost Wall setup.	Lanet veya işareti uygula, sonra Frost Bomb ve Frost Wall kurulumu.
Use Frost Darts to fill single-target downtime.	Tek hedefli boşlukları doldurmak için Frost Darts kullan.
Level 1–20	Seviye 1–20
Level 21–40	Seviye 21–40
Mark that enables the cold/freeze payoff and improves target focus.	Soğuk/donma kazancını etkinleştiren ve hedef odağını iyileştiren işaret.
Supports the main skill directly.	Ana beceriyi doğrudan destekler.
Do not copy an endgame item without its prerequisites.	Ön koşulları olmadan bir endgame eşyasını kopyalama.
Defensive layer that pairs with the ascendancy.	Yükselişle eşleşen savunma katmanı.
Prices are not fixed at this time.	Fiyatlar şu anda sabit değil.
Is non-crit clear, boss freeze and defense already stable?	Eleştirisiz temizlik, boss donması ve savunma zaten kararlı mı?
PoE2 now has a native Build Planner. The pasteable import string and downloadable .build are pending PC verification; use the creator guide and planner tool below in the meantime. Always re-confirm node choices in your own client.	PoE2 artık yerel bir Build Planner'a sahip. Yapıştırılabilir içe aktarma dizesi ve indirilebilir .build, PC doğrulaması beklemededir; bu sırada aşağıdaki oluşturucu rehberini ve planlayıcı aracını kullan. Düğüm seçimlerini kendi istemcinde her zaman yeniden doğrula.
Source-video summary for Ice Nova Chronomancer	Ice Nova Chronomancer için kaynak-video özeti
Independent written overview	Bağımsız yazılı genel bakış
Creator discussion and community questions	Oluşturucu tartışması ve topluluk soruları
Key mobility, reduces standing-still deaths.	Anahtar hareketlilik, olduğu yerde durma ölümlerini azaltır.
Keep as mobility.	Hareketlilik olarak tut.
Early survival floor.	Erken hayatta kalma tabanı.
Cooldown reduction	Bekleme süresi azaltma
High-investment defense boundary.	Yüksek yatırımlı savunma sınırı.
Attributes to equip weapon and gems	Silah ve cevherleri kuşanmak için öznitelikler
Warcry level/quality in place?	Savaş çığlığı seviyesi/kalitesi yerinde mi?
Block/life gap?	Blok/can açığı?
High rollover mods?	Yüksek devreden modlar?
